LOCATION,Country,TIME,GDP (PPP),Basic research,Applied research,Experimental development,Medical and health sciences
MLT,Malta,2011,1.46816358E10,33709.02571,19197.11075,15473.33804,18387.21631
MLT,Malta,2012,1.46816358E10,57378.69539,18189.584619999998,16195.54386,29734.666639999996
MLT,Malta,2013,1.46816358E10,59833.17469,22119.607640000002,9759.87389,24979.45348
MLT,Malta,2014,1.46816358E10,58818.871960000004,24773.786930000002,10371.02091,21285.89851
MNG,Mongolia,2007,3.6162929E10,12310.8556,20026.64551,2476.69905,2411.70568
MNG,Mongolia,2008,3.6162929E10,24789.05639,32399.24272,1620.8958699999998,4064.6407600000002
MNG,Mongolia,2009,3.6162929E10,22333.140180000002,27284.607180000003,2476.74406,3769.6864600000004
MNG,Mongolia,2010,3.6162929E10,16052.590119999999,23425.71516,2146.925,3904.9508299999998
MNG,Mongolia,2011,3.6162929E10,15786.59261,26960.86542,2088.33419,4350.18425
MNG,Mongolia,2013,3.6162929E10,18497.49621,40751.43002,6145.52461,7239.47148
MNG,Mongolia,2014,3.6162929E10,20933.06987,46087.28781,7701.4486400000005,6629.41353
MNG,Mongolia,2015,3.6162929E10,26214.37345,17921.65373,10207.31409,4986.41784
MOZ,Mozambique,2008,3.33545185E10,2627.74982,19842.880090000002,1772.0466800000002,3746.22796
MOZ,Mozambique,2010,3.33545185E10,25181.69396,56988.81981,9852.88251,21297.38451
MOZ,Mozambique,2015,3.33545185E10,30531.10981,57340.97475,24636.274840000002,32153.696519999998
MUS,Mauritius,2012,2.53596365E10,1914.1430300000002,6203.8186,30738.5183,1714.6232300000001
MYS,Malaysia,2008,8.1743079E11,533043.26465,3259884.72824,517140.00262,94922.59521
MYS,Malaysia,2009,8.1743079E11,789510.89936,4414874.45584,218107.75203000003,208467.6304
MYS,Malaysia,2010,8.1743079E11,1078613.30077,4106798.91013,838048.56262,254932.09379
MYS,Malaysia,2011,8.1743079E11,1108977.8111100001,4288646.00832,1059021.3862,290692.94165
